Identification,UniqueID,Status,DateCaught,SeasonDay,Location,AbdomenWidth,AbdomenLength,PronotumLength,ElytralLength,Mass
SAT017,B004,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.1422,8.6447,0.0291
AAS017,B005,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.4934,9.6657,0.0416
SAT021,B006,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.7018,10.4597,0.0464
SAT018,B007,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.2268,9.9339,0.0478
RAW014,B008,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.7364,10.1228,0.0483
RAW013,B009,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",3.4784,6.8717,2.9576,10.58,0.0548
ZZK004,B010,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",3.6769,7.1868,2.3899,10.4817,0.0543
RAW016,B011,0,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.7341,10.2265,0.0455
RAW015,B012,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.2805,9.9766,0.0383
ZZK005,B013,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.8849,10.6928,0.0498
SAT020,B014,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.6941,9.9994,0.0406
HH017,B015,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.1645,8.9885,0.0312
AAS019,B016,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",3.6298,7.6709,2.7133,10.6886,0.0661
HH018,B017,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",3.426,6.9725,2.5333,9.8795,0.0513
AAS018,B018,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.4902,9.6855,0.0466
AAS021,B019,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.4071,8.9712,0.0304
AAS020,B020,0,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",,,2.5036,9.9045,0.0426
RAW017,B021,1,Jun-15,3,"USA: Union Co, Bucknell Ropes Course",3.303,7.3466,2.6914,10.2366,0.0526
